year,name,file,source
2011,Cruise_Report_HUD2011043,Cruise_Report_HUD2011043.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2012,Cruise_Report_HUD2012042,Cruise_Report_HUD2012042.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2013,Cruise_Report_HUD2013004,Cruise_Report_HUD2013004.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2013,Cruise_Report_HUD2013037,Cruise_Report_HUD2013037.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2014,Cruise_Report_HUD2014004,Cruise_Report_HUD2014004.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2014,Cruise_Report_HUD2014030_Final,Cruise_Report_HUD2014030_Final.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2015,Cruise_Report_HUD2015004,Cruise_Report_HUD2015004.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2015,Cruise_Report_HUD2015030,Cruise_Report_HUD2015030.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2016,Cruise_Report_HUD2016003,Cruise_Report_HUD2016003.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2016,Cruise_Report_HUD2016027,Cruise_Report_HUD2016027.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2017,Cruise_Report_COR2017001,Cruise_Report_COR2017001.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2017,Cruise_Report_EN2017606,Cruise_Report_EN2017606.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2018,Cruise_Report_HUD2018004,Cruise_Report_HUD2018004.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2018,Cruise_Report_HUD2018030,Cruise_Report_HUD2018030.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2019,Cruise_Report_COR2019001_final,Cruise_Report_COR2019001_final.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2020,HUD2020-063_CruiseReport_FINAL,HUD2020-063_CruiseReport_FINAL.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2021,Cruise Report Fall AZMP_HUD2021185_FINAL,Cruise Report Fall AZMP_HUD2021185_FINAL.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2022,AT4802_SpringAZMP_CruiseReport,AT4802_SpringAZMP_CruiseReport.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2022,JC24301_FallAZMP_CruiseReport,JC24301_FallAZMP_CruiseReport.pdf,/srv/data/raw/dfo/bio/CruiseReports_Atlantic Zone Monitoring Program CTD Profiles
2023,Mission report for the Maritimes Region Atlantic zone monitoring program : 2023 fall survey (DY16902),https://science-catalogue.canada.ca/record=4125268~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2024,Mission report for the Maritimes Region Atlantic Zone Monitoring Program 2024 Spring survey (TEL2024880) ,https://science-catalogue.canada.ca/record=4126998~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2024, Mission report for the Maritimes Region Atlantic zone monitoring program 2024 Fall survey (DY18402), https://science-catalogue.canada.ca/record=4129694~S6, https://science-libraries.canada.ca/eng/fisheries-oceans/
2025, Mission report for the Maritimes Region Atlantic zone monitoring program 2025 Spring Survey (EN728), https://science-catalogue.canada.ca/record=4130945~S6, https://science-libraries.canada.ca/eng/fisheries-oceans/
