year,name,file,source
2025,Maritimes Region Atlantic Zone Monitoring Program 1991 to 2020 : hydrographic transect climatology,https://science-catalogue.canada.ca/record=4129349~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2015,Oceanographic conditions in the Atlantic zone in 2015,https://science-catalogue.canada.ca/record=4059534~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2016,Oceanographic conditions in the Atlantic zone in 2016,https://science-catalogue.canada.ca/record=4061507~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2017,Oceanographic conditions in the Atlantic zone in 2017,https://science-catalogue.canada.ca/record=4072623~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2018,Oceanographic conditions in the Atlantic zone in 2018,https://science-catalogue.canada.ca/record=4081873~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2019,Oceanographic conditions in the Atlantic zone in 2019,https://science-catalogue.canada.ca/record=4093850~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2020,Oceanographic conditions in the Atlantic zone in 2020,https://science-catalogue.canada.ca/record=4098833~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2021,Oceanographic conditions in the Atlantic Zone in 2021,https://science-catalogue.canada.ca/record=4107332~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2022,Oceanographic conditions in the Atlantic zone in 2022,https://science-catalogue.canada.ca/record=4118879~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
2023,Oceanographic conditions in the Atlantic zone in 2023,https://science-catalogue.canada.ca/record=4124917~S6,https://science-libraries.canada.ca/eng/fisheries-oceans/
