year,name,file,source
1999,Henry_Larsen_report-1999_99907_BarrowStrait,Henry_Larsen_report-1999_99907_BarrowStrait.pdf,/srv/data/raw/dfo/bio/ctd/cruise_reports
2001,Cruise_Report_BCD2001912_DGR2001001_BarrowStrait,Cruise_Report_BCD2001912_DGR2001001_BarrowStrait.pdf,/srv/data/raw/dfo/bio/ctd/cruise_reports
2002,Cruise_Report_PRD2002001_BarrowStrait_PierreRadisson,Cruise_Report_PRD2002001_BarrowStrait_PierreRadisson.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2003,Cruise_Report_PRD2003001_BarrowStrait_PierreRadisson,Cruise_Report_PRD2003001_BarrowStrait_PierreRadisson.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2004,Cruise_Report_DGR2004001_BarrowStrait,Cruise_Report_DGR2004001_BarrowStrait.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2005,Cruise_Report_DGR2005001_BarrowStrait,Cruise_Report_DGR2005001_BarrowStrait.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2006,Cruise_Report_DGR2006001_BarrowStrait,Cruise_Report_DGR2006001_BarrowStrait.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2007,Cruise_Report_DGR2007001_BarrowStrait,Cruise_Report_DGR2007001_BarrowStrait.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2008,Cruise_Report_DGR2008001_BarrowStrait,Cruise_Report_DGR2008001_BarrowStrait.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2009,Cruise_Report_DGR2009001_BarrowStrait,Cruise_Report_DGR2009001_BarrowStrait.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2010,Cruise_Report_HL2010001_BarrowStrait,Cruise_Report_HL2010001_BarrowStrait.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2011,Cruise_Report_HL2011001_BarrowStrait_GascoyneInlet,Cruise_Report_HL2011001_BarrowStrait_GascoyneInlet.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2012,Cruise_Report_HL2012001_GascoyneInlet_EasternBarrowStrait,Cruise_Report_HL2012001_GascoyneInlet_EasternBarrowStrait.doc,/srv/data/raw/dfo/bio/ctd/cruise_reports
2014,Pierre_Radisson Science_Rpt-2014,Pierre_Radisson Science_Rpt-2014.pdf,/srv/data/raw/dfo/bio/ctd/cruise_reports
2019,BIO_Barrow_Strait_2019_cruise_report,BIO_Barrow_Strait_2019_cruise_report.pdf,/srv/data/raw/dfo/bio/ctd/cruise_reports
